date,freight_cost_index,oil_price_usd,port_congestion_index,consumer_demand_index,freight_cost_rolling,oil_price_rolling,event,actual_inventory,predicted_inventory,ridge_predicted_inventory,yhat,yhat_lower,yhat_upper,region,shipping_cost,revenue_usd
2017-08-01,1529.96,71.79,55.24,85.04,1565.8416666666665,72.72166666666668,Normal,,,,,,,Latin America,2354.82,-5569.12
2017-09-01,1752.5,74.9,29.98,87.65,1608.986666666667,73.37666666666667,Normal,,,,,,,North America,2712.32,-7173.57
2017-10-01,1632.3,81.29,40.59,92.64,1620.1783333333333,75.84666666666668,Normal,,,,,,,Europe,2523.4,-6238.69
2017-11-01,1700.09,71.71,58.36,90.41,1654.736666666667,75.26,Normal,,,,,,,Asia-Pacific,2625.69,-6768.92
2017-12-01,1512.41,79.57,38.87,96.6,1626.138333333333,76.97333333333333,Normal,,,,,,,Latin America,2329.68,-5270.64
2018-01-01,1651.83,85.44,50.65,82.22,1629.8483333333334,77.45,Normal,,,,,,,North America,2555.85,-6573.17
2018-02-01,1704.01,71.26,54.21,90.63,1658.8566666666668,77.36166666666666,Normal,,,,,,,Europe,2630.4,-6787.0
2018-03-01,1550.39,80.53,37.45,87.39,1625.1716666666669,78.3,Normal,,,,,,,Asia-Pacific,2389.73,-5695.35
2018-04-01,1735.36,81.12,46.39,97.63,1642.3483333333334,78.27166666666666,Normal,,,,,,,Latin America,2685.61,-6944.82
2018-05-01,1552.84,83.87,14.83,82.84,1617.8066666666666,80.29833333333333,Normal,,,,,,,North America,2394.8,-5761.43
2018-06-01,1635.23,73.82,37.26,82.87,1638.2766666666666,79.34,Normal,,,,,,,Europe,2520.16,-6372.33
2018-07-01,1631.55,73.35,45.23,84.26,1634.8966666666668,77.325,Normal,,,,,,,Asia-Pacific,2513.56,-6333.99
2018-08-01,1870.33,82.43,35.54,76.82,1662.6166666666668,79.18666666666667,Normal,,,,,,,Latin America,2900.62,-8258.19
2018-09-01,1772.56,81.09,64.6,84.99,1699.6450000000002,79.28,Normal,,,,,,,North America,2742.96,-7440.62
2018-10-01,1580.27,80.55,34.23,84.0,1673.7966666666669,79.185,Normal,,,,,,,Europe,2434.54,-5965.59
2018-11-01,1803.26,80.64,44.39,88.71,1715.5333333333335,78.64666666666666,Normal,,,,,,,Asia-Pacific,2790.94,-7582.92
2018-12-01,1609.91,75.03,50.36,89.83,1711.3133333333335,78.84833333333333,Normal,,,,,,,Latin America,2477.79,-6102.54
2019-01-01,1805.29,79.03,63.72,97.66,1740.2699999999998,79.795,Normal,,,,,,,North America,2792.36,-7486.46
2019-02-01,1506.53,78.69,35.21,93.18,1679.6366666666663,79.17166666666667,Normal,,,,,,,Europe,2313.71,-5268.83
2019-03-01,1641.22,72.93,61.46,85.68,1657.746666666667,77.81166666666667,Normal,,,,,,,Asia-Pacific,2525.33,-6407.86
2019-04-01,1788.42,85.03,50.19,84.21,1692.4383333333333,78.55833333333334,Normal,,,,,,,Latin America,2767.68,-7565.41
2019-05-01,1802.25,77.2,40.53,91.29,1692.2699999999998,77.985,Normal,,,,,,,North America,2784.68,-7517.13
2019-06-01,1775.39,67.93,55.22,82.36,1719.8499999999997,76.80166666666668,Normal,,,,,,,Europe,2735.71,-7434.58
2019-07-01,1760.32,76.15,52.85,98.23,1712.3550000000002,76.32166666666667,Normal,,,,,,,Asia-Pacific,2716.1,-7112.83
2019-08-01,1704.4,66.91,45.12,95.08,1745.3333333333333,74.35833333333333,Normal,,,,,,,Latin America,2620.65,-6692.11
2019-09-01,1627.17,74.57,52.08,86.94,1742.9916666666668,74.63166666666666,Normal,,,,,,,North America,2501.25,-6276.08
2019-10-01,1695.76,75.21,47.78,80.82,1727.5483333333334,72.995,Normal,,,,,,,Europe,2610.94,-6878.39
2019-11-01,1719.41,64.05,53.03,96.25,1713.7416666666668,70.80333333333333,Normal,,,,,,,Asia-Pacific,2641.66,-6787.58
2019-12-01,1907.93,71.65,58.78,88.99,1735.831666666667,71.42333333333333,Normal,,,,,,,Latin America,2947.42,-8349.39
2020-01-01,1861.14,67.53,68.27,95.82,1752.635,69.98666666666666,Normal,,,,,,,North America,2869.65,-7893.77
2020-02-01,1572.11,68.16,40.29,81.73,1730.5866666666668,70.19500000000001,Normal,,,,,,,Europe,2407.15,-5897.95
2020-03-01,1894.87,72.08,74.26,86.77,1775.2033333333331,69.78,COVID Disruption,,,,,,,Asia-Pacific,2925.49,-8309.7
2020-04-01,1682.08,59.88,33.67,89.85,1772.9233333333332,67.225,COVID Disruption,,,,,,,Latin America,2577.27,-6557.85
2020-05-01,1703.86,55.81,51.93,90.1,1770.3316666666667,65.85166666666666,COVID Disruption,,,,,,,North America,2609.25,-6728.6
2020-06-01,1855.54,53.58,59.59,87.66,1761.5999999999997,62.84,COVID Disruption,,,,,,,Europe,2850.17,-7905.37
2020-07-01,1890.93,52.37,56.78,93.06,1766.5649999999998,60.31333333333333,COVID Disruption,,,,,,,Asia-Pacific,2905.63,-8080.7
2020-08-01,1863.12,54.47,48.0,84.63,1815.0666666666664,58.031666666666666,COVID Disruption,,,,,,,Latin America,2861.97,-7993.84
2020-09-01,1704.56,54.95,52.4,89.27,1783.3483333333334,55.17666666666667,COVID Disruption,,,,,,,North America,2608.13,-6743.56
2020-10-01,1750.22,53.01,49.81,90.6,1794.705,54.031666666666666,COVID Disruption,,,,,,,Europe,2679.59,-7054.41
2020-11-01,1818.72,54.14,49.11,92.57,1813.8483333333336,53.75333333333334,COVID Disruption,,,,,,,Asia-Pacific,2789.44,-7542.09
2020-12-01,1920.01,48.44,63.75,93.55,1824.5933333333337,52.89666666666667,COVID Disruption,,,,,,,Latin America,2947.65,-8286.22
2021-01-01,1776.01,54.02,59.09,84.36,1805.44,53.17166666666666,COVID Disruption,,,,,,,North America,2720.17,-7359.41
2021-02-01,1758.55,43.82,48.85,82.3,1788.0116666666663,51.39666666666667,COVID Disruption,,,,,,,Europe,2685.68,-7203.18
2021-03-01,1746.0,57.15,65.03,96.33,1794.9183333333333,51.76333333333334,COVID Disruption,,,,,,,Asia-Pacific,2673.17,-6976.22
2021-04-01,1700.23,45.1,59.37,91.57,1786.5866666666668,50.445,COVID Disruption,,,,,,,Latin America,2592.27,-6647.61
2021-05-01,1903.43,36.14,64.68,86.13,1800.705,47.445,COVID Disruption,,,,,,,North America,2911.59,-8225.37
2021-06-01,1952.2,33.54,63.11,97.58,1806.07,44.961666666666666,COVID Disruption,,,,,,,Europe,2987.63,-8406.64
2021-07-01,1783.25,39.82,48.78,90.34,1807.2766666666664,42.595,Normal,,,,,,,Asia-Pacific,2720.64,-7251.7
2021-08-01,1893.98,34.83,51.73,95.6,1829.8483333333336,41.09666666666667,Normal,,,,,,,Latin America,2894.39,-7987.77
2021-09-01,1880.65,38.1,65.06,89.97,1852.29,37.92166666666667,Normal,,,,,,,North America,2874.59,-8005.32
2021-10-01,1775.81,35.53,63.95,99.86,1864.8866666666663,36.32666666666667,Normal,,,,,,,Europe,2704.87,-7058.71
2021-11-01,1854.51,31.48,57.89,98.25,1856.7333333333331,35.55,Normal,,,,,,,Asia-Pacific,2827.93,-7647.83
2021-12-01,1971.13,26.34,59.54,88.14,1859.888333333333,34.35,Normal,,,,,,,Latin America,3011.01,-8656.05
2022-01-01,1844.54,21.79,71.4,94.15,1870.1033333333332,31.345,Port Congestion,,,,,,,North America,2805.3,-7616.04
2022-02-01,1961.99,25.99,52.96,92.41,1881.4383333333333,29.871666666666663,Port Congestion,,,,,,,Europe,2995.31,-8512.17
2022-03-01,1593.65,31.42,64.61,95.92,1833.605,28.758333333333336,Port Congestion,,,,,,,Asia-Pacific,2408.8,-5736.19
2022-04-01,1911.97,27.19,57.37,84.13,1856.2983333333336,27.368333333333336,Port Congestion,,,,,,,Latin America,2915.14,-8272.65
2022-05-01,1826.61,18.94,57.48,92.27,1851.6483333333335,25.278333333333336,Port Congestion,,,,,,,North America,2773.18,-7477.5
2022-06-01,1845.02,25.16,70.9,94.0,1830.63,25.081666666666667,Port Congestion,,,,,,,Europe,2805.94,-7634.65
2022-07-01,1881.51,25.42,68.43,79.77,1836.7916666666667,25.686666666666667,Port Congestion,,,,,,,Asia-Pacific,2864.05,-8119.11
2022-08-01,1664.17,18.35,68.57,82.51,1787.155,24.413333333333338,Port Congestion,,,,,,,Latin America,2511.63,-6419.88
2022-09-01,1869.89,22.9,73.74,78.08,1833.195,22.993333333333336,Port Congestion,,,,,,,North America,2843.08,-8055.18
2022-10-01,1892.05,21.86,61.16,86.77,1829.875,22.105,Port Congestion,,,,,,,Europe,2877.48,-8067.99
2022-11-01,2016.07,15.38,68.03,91.55,1861.4516666666664,21.511666666666667,Port Congestion,,,,,,,Asia-Pacific,3071.6,-8910.86
2022-12-01,1806.0,22.49,58.36,95.31,1854.9483333333335,21.066666666666663,Port Congestion,,,,,,,Latin America,2739.32,-7292.86
2023-01-01,1802.52,23.2,64.97,87.99,1841.7833333333335,20.696666666666665,Port Congestion,,,,,,,North America,2733.75,-7389.32
2023-02-01,1829.43,25.59,60.68,95.59,1869.3266666666668,21.903333333333332,Port Congestion,,,,,,,Europe,2777.8,-7480.24
2023-03-01,1982.49,25.31,63.21,80.36,1888.0933333333332,22.304999999999996,Port Congestion,,,,,,,Asia-Pacific,3022.1,-8859.33
2023-04-01,1919.45,13.11,68.45,78.55,1892.66,20.846666666666668,Port Congestion,,,,,,,Latin America,2913.49,-8372.76
2023-05-01,1800.77,15.35,54.58,86.6,1856.7766666666664,20.841666666666665,Port Congestion,,,,,,,North America,2724.51,-7350.04
2023-06-01,2012.27,22.75,83.94,88.6,1891.155,20.885,Port Congestion,,,,,,,Europe,3066.92,-8979.94
2023-07-01,1883.21,22.96,53.22,86.31,1904.6033333333332,20.845,Normal,,,,,,,Asia-Pacific,2860.12,-8001.1
2023-08-01,1969.84,23.28,51.39,75.93,1928.005,20.459999999999997,Normal,,,,,,,Latin America,2998.49,-8805.07
2023-09-01,1913.18,40.36,75.37,85.61,1916.4533333333331,22.968333333333337,Normal,,,,,,,North America,2917.65,-8339.2
2023-10-01,1912.85,24.42,71.97,79.31,1915.3533333333337,24.853333333333335,Normal,91.6,94.5438526655268,94.5401123795168,90.80434446945866,86.99452033888636,94.62887708887556,Europe,2907.13,-8362.38
2023-11-01,1913.23,27.81,70.55,88.96,1934.0966666666664,26.930000000000003,Normal,84.5,84.75082170095642,84.75033369013815,84.39824854880855,80.78092250822473,87.99397716875306,Asia-Pacific,2909.34,-8231.91
2023-12-01,1810.77,27.54,70.85,87.22,1900.513333333333,27.728333333333335,Normal,74.9,79.91651244706397,79.91544736156862,75.57332119720728,72.18693890755394,79.02378652521207,Latin America,2744.81,-7488.93
2024-01-01,1971.02,26.75,64.71,80.46,1915.1483333333333,28.36,Normal,88.3,94.3348978701174,94.33201326684204,89.66046976753199,86.02886959163645,93.18063644378832,North America,3000.3,-8779.79
2024-02-01,1937.99,22.72,56.11,82.35,1909.84,28.266666666666666,Normal,80.0,87.27483822152472,87.27325834620046,82.01734739613616,78.68112998261577,85.60081085764476,Europe,2944.6,-8474.7
2024-03-01,1959.16,28.96,66.1,79.39,1917.503333333333,26.36666666666667,Normal,84.6,95.0309926432673,95.02762388385034,78.43701609803085,74.83207887240867,81.94712062134478,Asia-Pacific,2981.79,-8717.84
2024-04-01,1904.27,22.25,58.83,84.13,1916.0733333333335,26.005,Normal,73.7,84.4737406864033,84.47256959841872,69.39292407339065,65.77672886034101,73.18534743652025,Latin America,2889.51,-8197.33
2024-05-01,1848.24,25.95,75.61,88.97,1905.2416666666668,25.694999999999997,Normal,70.4,82.55996441975671,82.55915674957005,68.32487941212985,64.83981686492774,72.02638411100828,North America,2801.65,-7744.47
2024-06-01,1918.82,25.79,64.65,79.02,1923.25,25.403333333333332,Normal,76.2,92.3465966760776,92.34326164885692,76.57948238766835,72.85689605209366,80.27962662368164,Europe,2914.05,-8405.98
2024-07-01,1919.31,29.78,58.12,86.22,1914.6316666666664,25.90833333333333,Normal,68.7,82.90116284537356,82.9006235005343,70.99239802802012,67.28895317047925,74.80493968060435,Asia-Pacific,2916.8,-8307.84
2024-08-01,1918.31,42.15,63.42,80.8,1911.3516666666667,29.146666666666665,Normal,71.1,89.52502678895412,89.52213207133748,74.38809696023309,70.70672745336518,78.07319670015973,Latin America,2922.19,-8439.06
2024-09-01,1970.24,22.51,71.03,79.23,1913.1983333333335,28.071666666666665,Normal,79.7,98.03460622623638,98.03092448235742,83.14743779386428,79.53775129179226,86.81005794745863,North America,2993.06,-8784.91
2024-10-01,2030.74,36.6,61.52,82.4,1934.2766666666664,30.463333333333328,Normal,78.2,94.74654309382474,94.74437612209458,78.97970757073429,75.35030379499977,82.61093050008212,Europe,3097.89,-9233.25
2024-11-01,2156.03,26.47,59.19,77.5,1985.575,30.55,Normal,91.1,106.96776023481904,106.96426045551854,91.1826114413385,87.5410609950364,94.57253283201182,Asia-Pacific,3291.84,-10202.39
2024-12-01,2036.17,33.59,70.11,79.65,2005.1333333333332,31.850000000000005,Normal,82.8,101.1090437657555,101.10539463228578,82.1083599337434,78.1821796247482,85.57265853770676,Latin America,3103.91,-9316.07
2025-01-01,2068.11,42.85,70.38,76.16,2029.9333333333336,34.028333333333336,Normal,86.8,106.22184971046386,106.21688381967832,85.42308879736945,81.98999265056487,89.0377942038168,North America,3160.13,-9645.37
2025-02-01,2010.18,39.22,63.12,91.71,2045.245,33.54,Normal,72.1,85.1117361023148,85.11250789908476,70.06281342284421,66.40767804838313,73.69787752783445,Europe,3064.84,-8952.27
2025-03-01,1823.54,35.03,63.74,81.79,2020.795,35.62666666666667,Normal,62.1,82.87205492866023,82.86958536280478,68.27994285469839,64.44763497611683,72.06954828552355,Asia-Pacific,2763.27,-7685.44
2025-04-01,2045.67,38.4,71.03,77.85,2023.2833333333335,35.92666666666667,Normal,86.4,103.59405239276556,103.58966910665929,90.72039726625974,86.97199510112512,94.25484452576832,Latin America,3120.27,-9434.93
2025-05-01,2026.13,46.95,54.48,82.15,2001.6333333333337,39.34,Normal,77.1,91.58991806901622,91.58802087815435,79.19628456419015,75.48911108954776,82.99572692073647,North America,3093.7,-9233.24
2025-06-01,2261.83,41.49,55.15,80.25,2039.2433333333336,40.656666666666666,Normal,100.3,109.0588841527075,109.05634826857764,99.9396713055193,96.30358116090362,103.45865340043676,Europe,3467.11,-11008.64
2025-07-01,2034.72,47.84,62.3,79.44,2033.6783333333333,41.48833333333334,Normal,84.4,97.6729181984969,97.66954981772729,82.1195094442693,78.71372385711501,85.69824525244792,Asia-Pacific,3107.12,-9353.62
2025-08-01,2105.87,48.6,67.61,83.34,2049.6266666666666,43.05166666666667,Normal,91.8,100.5716332574438,100.56915615605377,88.51733673483841,84.92578309563764,91.96807713800662,Latin America,3220.98,-9839.72
2025-09-01,2089.34,46.74,73.11,83.79,2093.9266666666667,45.00333333333333,Normal,93.7,101.2579069729048,101.25521647686904,90.25185271987807,86.67727225854686,93.73439027648156,North America,3192.99,-9709.84
2025-09-30,,,,,,,,,,,125.25063138545286,121.63377318253931,128.73105384926885,Europe,,
2025-10-31,,,,,,,,,,,107.34152859548216,103.79636109341556,110.84853723195786,Asia-Pacific,,
2025-11-30,,,,,,,,,,,100.54209966588144,96.82964282473888,104.16249571001224,Latin America,,
2025-12-31,,,,,,,,,,,123.1366972784289,119.51334928721226,126.91210182619268,North America,,
2026-01-31,,,,,,,,,,,120.79786103875723,117.09155515051236,124.29393404104766,Europe,,
2026-02-28,,,,,,,,,,,-16.587635131416704,-20.340065631129796,-12.899374138817622,Asia-Pacific,,
2026-03-31,,,,,,,,,,,160.79744826241526,156.9110984979047,164.78737805935617,Latin America,,
2026-04-30,,,,,,,,,,,88.87843458965396,85.05842186216188,92.26299371709744,North America,,
2026-05-31,,,,,,,,,,,164.90736385509405,160.77289810838911,168.61579323455152,Europe,,
2026-06-30,,,,,,,,,,,79.31030913644172,75.30262732932275,83.40788999967309,Asia-Pacific,,
2026-07-31,,,,,,,,,,,97.08802099875872,92.9109423191929,100.87561848871565,Latin America,,
2026-08-31,,,,,,,,,,,61.98469175379992,57.88412844976824,66.0602709418705,North America,,
